nombre,grupoMuscular,tipo,implemento,dificultad,archivoGif,descripcion,regresion,progresion
"Peso Muerto Mancuernas","piernas;gluteos;espalda",bilateral,mancuernas,intermedio,PesoMuertoMancuernas.gif,"Ejercicio bilateral de piernas y gluteos y espalda","Peso muerto con peso corporal","Peso Muerto Mancuernas Unilateral"
"Peso Muerto Mancuernas Unilateral + Remo","piernas;gluteos;brazos;espalda",bilateral,mancuernas,intermedio,PesoMuertoMancuernasUnilateral+Remo.gif,"Ejercicio bilateral de piernas y gluteos y brazos y espalda","Versión bilateral del mismo ejercicio","Agregar peso o resistencia"
"Peso Muerto Mancuernas Unilateral","piernas;gluteos;espalda",bilateral,mancuernas,intermedio,PesoMuertoMancuernasUnilateral.gif,"Ejercicio bilateral de piernas y gluteos y espalda","Peso Muerto Mancuernas","Peso Muerto Mancuernas Unilateral + Remo"
"Plancha Alternando Brazos","core;abdominales;hombros",alternado,peso_corporal,intermedio,PlanchaAlternandoBrazos.gif,"Ejercicio alternado de core y abdominales y hombros","Plancha Rodillas Apoyadas","Toque Hombros"
"Plancha Push Up","core;abdominales;brazos;pecho;hombros",bilateral,peso_corporal,intermedio,PlanchaPushUp.gif,"Ejercicio bilateral de core y abdominales y brazos y pecho y hombros","Plancha Rodillas Apoyadas","Plancha con palmada"
"Plancha Rodillas Apoyadas","core;abdominales;hombros",bilateral,peso_corporal,principiante,PlanchaRodillasApoyadas.gif,"Ejercicio bilateral de core y abdominales y hombros","Plancha inclinada pared","Plancha completa"
"Planchay Ext Cadera","core;abdominales;hombros",bilateral,peso_corporal,intermedio,PlanchayExtCadera.gif,"Ejercicio bilateral de core y abdominales y hombros","Versión más simple o con apoyo","Versión más desafiante"
"Press Militar 1 Mano Rodillaen Suelo","brazos;hombros",bilateral,peso_corporal,principiante,PressMilitar1ManoRodillaenSuelo.gif,"Ejercicio bilateral de brazos y hombros","Versión asistida o con apoyo","Versión estándar"
"Press Pecho Mancuernas Suelo","brazos;hombros",bilateral,mancuernas,intermedio,PressPechoMancuernasSuelo.gif,"Ejercicio bilateral de brazos y hombros","Versión con peso corporal","Mayor peso o movimiento más complejo"
"Puente Supino Unilateral","core;abdominales;gluteos",bilateral,peso_corporal,intermedio,Puente Supino Unilateral.gif,"Ejercicio bilateral de core y abdominales y gluteos","Versión bilateral del mismo ejercicio","Agregar peso o resistencia"
"Puente Lateral","core;abdominales;gluteos",bilateral,peso_corporal,intermedio,PuenteLateral.gif,"Ejercicio bilateral de core y abdominales y gluteos","Versión más simple o con apoyo","Versión más desafiante"
"Puente Lateral Brazo Extendido","core;abdominales;gluteos",bilateral,peso_corporal,intermedio,PuenteLateralBrazoExtendido.gif,"Ejercicio bilateral de core y abdominales y gluteos","Versión más simple o con apoyo","Versión más desafiante"
"Puente Lateral C: Abduccion Cadera","core;abdominales;gluteos",bilateral,peso_corporal,intermedio,PuenteLateralC:AbduccionCadera.gif,"Ejercicio bilateral de core y abdominales y gluteos","Versión más simple o con apoyo","Versión más desafiante"
"Puente Lateral Rodilla Apoyada","core;abdominales;gluteos",bilateral,peso_corporal,principiante,PuenteLateralRodillaApoyada.gif,"Ejercicio bilateral de core y abdominales y gluteos","Versión asistida o con apoyo","Versión estándar"
"Puente Supino","gluteos",bilateral,peso_corporal,intermedio,PuenteSupino.gif,"Ejercicio bilateral de gluteos","Puente con pies apoyados en suelo","Puente Supino Pies Elevados"
"Puente Supino Con Mancuerna","gluteos",bilateral,mancuernas,intermedio,PuenteSupinoConMancuerna.gif,"Ejercicio bilateral de gluteos","Puente Supino","Hip thrust con barra"
"Puente Supino Pies Elevados","gluteos",bilateral,peso_corporal,intermedio,PuenteSupinoPiesElevados.gif,"Ejercicio bilateral de gluteos","Puente Supino","Puente unilateral"
"Push Up Apoyo Rodillas","brazos;pecho;hombros",bilateral,peso_corporal,principiante,PushUpApoyoRodillas.gif,"Ejercicio bilateral de brazos y pecho y hombros","Plancha Rodillas Apoyadas","Push Ups"
"Push Up Excéntrico","brazos;pecho;hombros",bilateral,peso_corporal,intermedio,PushUpExcéntrico.gif,"Ejercicio bilateral de brazos y pecho y hombros","Versión más simple o con apoyo","Versión más desafiante"
"Push Up Manos Elevadas","brazos;pecho;hombros",bilateral,peso_corporal,intermedio,PushUpManosElevadas.gif,"Ejercicio bilateral de brazos y pecho y hombros","Push Up Apoyo Rodillas","Push Ups"
"Push Up Pies Elevados","brazos;pecho;hombros",bilateral,peso_corporal,intermedio,PushUpPiesElevados.gif,"Ejercicio bilateral de brazos y pecho y hombros","Push Ups","Flexiones con palmada (avanzado)"
